ID,latitude,longitude,address,state,town,pinno,verified,reverse_geocoded_address,new_latitude,new_longitude,HDBSCAN_cluster_address,HDBSCAN_cluster_reverse,cluster_match,cosine_similarity
11617,19.0859986,72.8282885,shop no 21b juhu ruturaj co op hsg soc ltd juhu road opp sndt college santacruz w 400049,maharashtra,mumbai,400049,Y,"3RPH+98Q, Hari Ravendrakar Rd, Shivaji Nagr, Juhu, Mumbai, Maharashtra 400049, India",19.0869923,72.82911279999999,433,-1,False,0.3933465
11618,19.0804467,72.8539894,3vj35gg rajendra kamble rd siddharath nagar vakola santacruz east 400055,maharashtra,mumbai,400055,Y,"102, Emerald Apartments, Siddharath Nagar, Vakola, Santacruz East, Mumbai, Maharashtra 400055, India",19.0804324,72.8541096,-1,229,False,0.61492556
11619,19.0801628,72.8540327,181 laxmi laxman sadan st anthony church road oppo  siddharath nagar vakola 400055,maharashtra,mumbai,400055,Y,"Ani Apartments, St Anthony Rd, Siddharath Nagar, Vakola, Santacruz East, Mumbai, Maharashtra 400055, India",19.0801709,72.8541303,-1,229,False,0.5815178
11620,19.0798958,72.853715,1 st anthony rd siddharath nagar vakola santacruz east 400055,maharashtra,mumbai,400055,Y,"1, St Anthony Rd, Siddharath Nagar, Vakola, Santacruz East, Mumbai, Maharashtra 400055, India",19.0800472,72.85356780000001,136,427,False,0.8299964
11623,19.0815075,72.8547884,near swagat store vakola santacruz east mumbai 400057,maharashtra,mumbai,400057,Y,"3VJ3+HX2, Pandit Jawaharlal Nehru Rd, Siddharath Nagar, Vakola, Santacruz East, Mumbai, Maharashtra 400055, India",19.0813072,72.8544473,203,418,False,0.5957181
11626,19.0726691,72.8610938,cst road kolivery village cst road kolivery village cst road kolivery village 400098,maharashtra,mumbai,400098,Y,"Street Vendor Nr Mumbai University Cst, Santacruz – Chembur Link Rd, Kolivery Village, Vidya Nagari, Kalina, Santacruz East, Mumbai, Maharashtra 400098, India",19.0723068,72.8567173,93,-1,False,0.5519643
11629,19.0713446,72.8631697,shop no1 akash darshan cst rd kalina vidyanagar santacruz e  400098,maharashtra,mumbai,400098,Y,"9/A, Kolivery Village, Vidya Nagari, KP Munot Nagar Nagar, Antop Hill, Mumbai, Maharashtra 400037, India",19.0244134,72.8629943,191,149,False,0.44686002
11633,19.0762255,72.8665974,kolivery village kalina santacruze 9222630607 400054,maharashtra,mumbai,400054,Y,"3VG8+GMC, Kalina Jama Masjid Ln, Kolivery Village, Vidya Nagari, Kalina, Santacruz East, Mumbai, Maharashtra 400098, India",19.0772063,72.8658245,93,38,False,0.61036825
11637,19.0788721,72.8647946,big village kalina kurla rd kolivery village kalina santacruz east mumbai 400029,maharashtra,mumbai,400029,Y,"Vailankanni Building, 83, Kalina Village Rd, Kolivery Village, Kalina, Santacruz East, Mumbai, Maharashtra 400029, India",19.0789733,72.864868,93,39,False,0.7727877
11639,19.0775478430671,72.8642170852227,195a 10 agarwal estate bldg k 195a 10 agarwal estate bldg k 195a 10 agarwal estate bldg k 400055,maharashtra,mumbai,400055,Y,"14-F/3, Kolivery Village, Kalina, Santacruz East, Mumbai, Maharashtra 400029, India",19.0789788,72.8713427,66,39,False,0.418308
11640,19.077460609448,72.8641725906217,5roy villa kalina kurla rd ka 5roy villa kalina kurla rd ka 5roy villa kalina kurla rd ka 400055,maharashtra,mumbai,400055,Y,"11, Kalina Kurla Rd, Kolivery Village, Vidya Nagari, Kalina, Santacruz East, Mumbai, Maharashtra 400098, India",19.0773547,72.8642311,93,39,False,0.61384237
11641,19.0805896,72.8639199,cst rd kalina village nr chandani st santacruze  400099,maharashtra,mumbai,400099,Y,"140, CST Rd, Kolivery Village, Christian Gaon, Santacruz East, Mumbai, Maharashtra 400098, India",19.0756885,72.86169009999999,93,-1,False,0.60532904
11651,19.0825999,72.8382607,shop no 12 grnd flr shamroc chsl main avenue santacruz west mumbai 400054,maharashtra,mumbai,400054,Y,"16, Poddar St, Railway Colony, Santacruz (West), Mumbai, Maharashtra 400047, India",19.0839433,72.8389694,203,402,False,0.46187726
11659,19.08685,72.8382127,swami vivekananda rd next to amar juice centre  bhim wada santacruz west 400054,maharashtra,mumbai,400054,Y,"Khira Nagar (Santacruz-W), Bhim Wada, Santacruz (West), Mumbai, Maharashtra 400047, India",19.0869,72.83825,303,403,False,0.6065582
11660,19.0866044,72.8383368,a3i swami vivekananda rd  khira nagar santacruz west mumbai 400054,maharashtra,mumbai,400054,Y,"A3-I, Swami Vivekananda Rd, Khira Nagar, Santacruz (West), Mumbai, Maharashtra 400054, India",19.0873312,72.83794379999999,303,394,False,0.8789542
11661,19.0844134,72.8351955,juhu tara rd opp santacruz police chowky nr society st santacruzw 400054,maharashtra,mumbai,400054,Y,"501, Juhu Tara Rd, Santacruz (West), Mumbai, Maharashtra 400054, India",19.084348,72.835157,73,-1,False,0.5332174
11665,19.0893402,72.8384024,swami vivekananda rd rizvi nagar mseb colony santacruz west mumbai 400054,maharashtra,mumbai,400054,Y,"3RQQ+P9V, Swami Vivekananda Rd, Rizvi Nagar, MSEB Colony, Santacruz (West), Mumbai, Maharashtra 400047, India",19.0896456,72.8383697,-1,394,False,0.84489983
11666,19.0893892,72.8381754,shop no21 rizvi nagar svrd santacruz w 26121377 9819923675 400054,maharashtra,mumbai,400054,Y,"4, Swami Vivekananda Rd, MSEB Colony, Santacruz (West), Mumbai, Maharashtra 400054, India",19.089434,72.838326,201,394,False,0.52736616
11667,19.0895013,72.8382808,t9 rizvi nagar sv rd santacru  mumbai 400054,maharashtra,mumbai,400054,Y,"4, Swami Vivekananda Rd, MSEB Colony, Santacruz (West), Mumbai, Maharashtra 400054, India",19.089434,72.838326,135,394,False,0.694919
11668,19.12788,72.8680517,shop number 57jai bajrang ch mahakali caves rd near holy s sher e punjab colony andheri 400093,maharashtra,mumbai,400093,Y,"Omkar Estste Agency, Shop 2, Swaroop Apartments, Mahakali Caves Rd, near Holy Spirit Hospital, Sunder Nagar, Andheri East, Mumbai, Maharashtra 400093, India",19.1278847,72.8681513,-1,9,False,0.7359945
11669,19.0854489,72.8293215,juhu ruturaj coop housing society juhu tara rd juhu koliwada santacruz west 400049,maharashtra,mumbai,400049,Y,"S.N.D.T. (Juhu), Juhu Koliwada, Santacruz (West), Mumbai, Maharashtra 400049, India",19.08555,72.82945,28,399,False,0.45715484
11672,19.0929661,72.8281937,shop no6 sea palace premises hotel sea princess  juhu tara road mumbai 400049,maharashtra,mumbai,400049,Y,"25H, Dayawati Modi Marg, Airport Area, Juhu, Mumbai, Maharashtra 400049, India",19.0928579,72.82816059999999,27,412,False,0.40016705
11674,19.0964669,72.8280424,r68 juhu beach bus stop santacruzw mumbai 400054,maharashtra,mumbai,400054,Y,"Juhu Beach, Airport Area, Juhu, Mumbai, Maharashtra 400049, India",19.0965631,72.8323463,48,412,False,0.6342831
11675,19.1103033,72.8665217,shop 125 aayushi coop hsg b wing senapati bapat marg bamanpuri s b singh colony j 400059,maharashtra,mumbai,400059,Y,"63, Shree Niwas Bagadka Rd, Ajit Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099, India",19.1109907,72.8670062,418,395,False,0.58377624
11676,19.0823699,72.8408746,shop no 2 balaji darshan ilak road santacruz west mumbai suburban 400054,maharashtra,mumbai,400054,Y,"1, Tilak Rd, Railway Colony, Santacruz (West), Mumbai, Maharashtra 400054, India",19.0822584,72.83913489999999,203,402,False,0.573074
11678,19.1211748,72.8499023,old nagardas road andheri east mumbai 400069,maharashtra,mumbai,400069,Y,"22, Old Nagardas Rd, near Abhyudaya Bank Co-Operative Bank Ltd, Mogra Pada, Natwar Nagar, Jogeshwari East, Mumbai, Maharashtra 400053, India",19.1212847,72.8498594,291,260,False,0.7030433
11681,19.1044935,72.8482532,shop no 4 durga bhavan subhash road vile parle east mumbai 400057,maharashtra,mumbai,400057,Y,"Guru Chhaya Building, Subhash Rd, Vishnu Prasad Society, Navpada, Paranjape Nagar, Vile Parle, Mumbai, Maharashtra 400057, India",19.104647,72.8482362,380,266,False,0.62243783
11682,19.107448,72.8519271,shop no3 kamal kunj subhash r vileparle e 26103903  400057,maharashtra,mumbai,400057,Y,"Kamal Kunj, Subhash Rd, Vishnu Prasad Society, Navpada, Netaji Subhash Nagar, Vile Parle, Mumbai, Maharashtra 400057, India",19.1065716,72.8521138,405,266,False,0.55824065
11684,19.1002649,72.8471056,shop no 3 and 5 jai bhavani ram mandir rd navpada vile parle east vile parle 400057,maharashtra,mumbai,400057,Y,"102, Ram Mandir Rd, Satsang CHSL, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057, India",19.1003029,72.8472199,432,286,False,0.6132861
11690,19.1052246,72.8606981,shop no cigratte factory 6 chakala rd opposite chakala mahatma kabir nagar bamanwada 400099,maharashtra,mumbai,400099,Y,"SHOP NO 2,SHEEBA APARTMENT, Mahatma Kabir Nagar, Chakala, ANDHERI(E, Mumbai, Maharashtra 400099, India",19.104288,72.854086,403,114,False,0.66920525
11692,19.1069701,72.85945,sahar rdnr chakala cigret factorysahar rd andheri e mahatma kabir nagar 400099,maharashtra,mumbai,400099,Y,"7, Sahar Rd, Dawoolwadi, Andheri East, Mumbai, Maharashtra 400099, India",19.1069735,72.8599977,-1,233,False,0.72569567
11695,19.0811893,72.842577,2 a nandish apartment opp santacruz ply statione mumbai 400055,maharashtra,mumbai,400055,Y,"18, Rd No. 3, near Santacruz Mansion, Sen Nagar, Santacruz East, Mumbai, Maharashtra 400055, India",19.0813635,72.8432085,77,427,False,0.68121034
11700,19.0794697,72.8472254,shop nob 3153 lake side gate chaitanya naga davri nagar vakola santacruz 400055,maharashtra,mumbai,400055,Y,"A-46, Chaitanya Nagar, Davri Nagar, Vakola, Santacruz East, Mumbai, Maharashtra 400055, India",19.0788983,72.8484796,426,-1,False,0.46748218
11702,19.0785405,72.866554,jamlipada vidya nagari kalina santacruz east mumbai maharashtra 400098,maharashtra,mumbai,400098,Y,"Shop Number 5, Ellora Apartment, Kolivery Village, Kalina, Santacruz East, Mumbai, Maharashtra 400029, India",19.0786385,72.8663866,347,114,False,0.59318197
11705,19.0794195374474,72.8538497909904,church view apart behind vakol church santacruz e 32600600 shop1234 400055,maharashtra,mumbai,400055,Y,"101, Rajendra Kamble Rd, Siddharath Nagar, Vakola, Santacruz East, Mumbai, Maharashtra 400055, India",19.0797499,72.8538379,6,427,False,0.37109363
11708,19.0859784,72.8286506,shop no3 juhu tara rd  juhu koliwada mumbai 400049,maharashtra,mumbai,400049,Y,"71, Juhu Tara Rd, Shivaji Nagr, Juhu, Mumbai, Maharashtra 400049, India",19.0860127,72.828734,442,411,False,0.60211784
11711,19.1101772,72.8660116,80bagada chawl shop no4 jb andheri east mumbai 400053,maharashtra,mumbai,400053,Y,"603-604, Bamanpuri, J B Nagar, Andheri East, Mumbai, Maharashtra 400059, India",19.1084347,72.86574929999999,442,-1,False,0.5694626
11714,19.1114972,72.874979,marol church rd bori colony vijay nagar colony west marol andheri east mumbai 400069,maharashtra,mumbai,400069,Y,"138, Marol Church Rd, Bori Colony, Marol, Andheri East, Mumbai, Maharashtra 400059, India",19.1113933,72.87503210000001,277,23,False,0.8253072
11715,19.1278683,72.867905,bajrang chawl mahakali caves holy spirit hospital sher e punjab colonyandheri east 400093,maharashtra,mumbai,400093,Y,"Shop no 7, jai, Bajrang Chawl, Mahakali Caves Rd, off awa apartment, Sher E Punjab Colony, Andheri East, Mumbai, Maharashtra 400093, India",19.1279966,72.86783249999999,4,9,False,0.71387374
11717,19.1360889,72.8701065,shop no 16  bwing bldg  poonam darshan bldg  poonam mahakali caves rd 400093,maharashtra,mumbai,400093,Y,"Poonam Nagar, MMRDA Colony, Jogeshwari East, Mumbai, Maharashtra 400093, India",19.137309,72.86779419999999,-1,126,False,0.39938432
11718,19.0895676,72.8387859,rizvi nagar near milan mall subway road santacruz w  400054,maharashtra,mumbai,400054,Y,"Dr p v avsare marg, Shop number 5, Milan Subway, near shamia hotel, MSEB Colony, Santacruz (West), Mumbai, Maharashtra 400054, India",19.0901273,72.8433637,-1,56,False,0.6661302
11719,19.1392994,72.8689025,shop no5 green field a wing j link rd andherie9820783468 28260903 400093,maharashtra,mumbai,400093,Y,"A-1, Jogeshwari - Vikhroli Link Rd, Poonam Nagar, Jogeshwari East, Mumbai, Maharashtra 400060, India",19.1392699,72.8690039,-1,73,False,0.28342718
11720,19.1340927,72.8697671,shivneri vasahat rd poonam nagar jogeshwari east  400093,maharashtra,mumbai,400093,Y,"14/31, Adarsh Building, PMGP Colony,, Off Mahakali Caves Road, Andheri East, Indira Nagar, Jogeshwari East, Mumbai, Maharashtra 400093, India",19.1340581,72.8699303,113,8,False,0.5997382
11729,19.1030992,72.8687047,shop no 521 indira nagar sah  airport rd andheri east 400099,maharashtra,mumbai,400099,Y,"2, Chhatrapati Shivaji Maharaj Int'l Airport Rd, Ashok Nagar, Andheri East, Mumbai, Maharashtra 400059, India",19.1026621,72.86834189999999,-1,412,False,0.7168859
11730,18.9681929,72.8247776,272 bellasis rd rbi staff madanpura mumbai  400008,maharashtra,mumbai,400008,Y,"272, Bellasis Rd, RBI Staff Colony, Madanpura, Mumbai, Maharashtra 400008, India",18.9681969,72.8247987,-1,406,False,0.82050246
11740,18.958727,72.8022436,garage no 52 simla house chs nepeansea road malabar hill mumbai 400026,maharashtra,mumbai,400026,Y,"SHIMLA HOUSE-B, HYDERABAD ESTATE, सिमला नगर, मालाबार पहाड़, मुंबई, महाराष्ट्र 400006, India",18.9588204,72.8021792,-1,-1,True,0.39059055
11753,18.9762608,72.8075841,28 anavalkar bidg mahalakshmi temple breach can cumballs hill 400026,maharashtra,mumbai,400026,Y,"22, Bhulabhai Desai Marg, near THE GHETTO, Mahalaxmi West, Breach Candy, Cumballa Hill, Mumbai, Maharashtra 400026, India",18.9763498,72.8075264,40,34,False,0.543971
11754,18.9725527,72.814848,6 rajni mahal tardeo rd arya nagar tulsiwadi tardeo mumbai 400034,maharashtra,mumbai,400034,Y,"Arun Chambers, 214, Tardeo Rd, Arya Nagar, Tulsiwadi, Tardeo, Mumbai, Maharashtra 400034, India",18.9732034,72.81377010000001,99,-1,False,0.80411935
